Date,Strontia Springs Outflow (cfs),"Adjusted turbidity, Upstream Strontia",Marston WTP Outflow (cfs),"Adjusted TP, MS Above Conf.",Roberts Tunnel Flowrate (cfs),"Adjusted TOC, SP Below Chatfield",South Platte Above Cheesman Flowrate (cfs),"Adjusted turbidity, SP Below Chatfield","Adjusted turbidity, NF Above Conf.","Adjusted TP, Downstream Strontia","Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, MS Above Conf.",FORMATTED_ENTRY
7/2/2012,5.241958632878652,2.057386087136522,11.325634640054393,0.03714725926346683,357.3,1.8657555236296568,4.5217885770490405,1.314905025228835,0.5316804838949919,1.00894718011563,1.3321277916669891,0.030173128869487403,1.0696995984545605,3.284288963416433
7/10/2012,5.320763555377867,2.1669509316948474,8.148005891014071,0.029383628647118958,90.70625,2.059175606715494,5.43372200355424,1.809997690270258,0.7527572123860097,1.0086627798070698,1.2720515591269197,0.02921561143154152,0.8775569713082156,1.534714366238164
7/18/2012,5.06050424124939,2.3462572751253163,9.733961166965893,0.023223749949397333,306.0,2.2767912677979187,5.43372200355424,2.251112283735965,1.1806841866415965,1.0080740636193117,1.1364718041914992,0.02734430719369148,0.7085846803185507,3.2039652121324464
7/25/2012,5.450136759608216,2.4941612093339365,11.325634640054393,0.01889291951985911,306.0,2.4063503646982616,5.517452896464707,2.472766368328249,1.5102171883173083,1.0079323646540885,0.9981402348324675,0.025615939298568022,0.5802891704679826,4.137723285524046
7/25/2012,5.450136759608216,2.4941612093339365,11.325634640054393,0.01889291951985911,306.0,2.4063503646982616,5.517452896464707,2.472766368328249,1.5102171883173083,1.0079323646540885,0.9981402348324675,0.025615939298568022,0.5802891704679826,1.623340817603092
7/30/2012,5.3091089276262355,2.5784647675214174,10.605658866850282,0.01629919351108103,263.725,2.445544209201534,5.384495062789089,2.544383375168425,1.7043106291387384,1.0082435429437713,0.9084129927155954,0.02454081605121758,0.49971628433578946,2.856470206220483
7/30/2012,5.3091089276262355,2.5784647675214174,10.605658866850282,0.01629919351108103,263.725,2.445544209201534,5.384495062789089,2.544383375168425,1.7043106291387384,1.0082435429437713,0.9084129927155954,0.02454081605121758,0.49971628433578946,1.247032293786383
8/6/2012,5.08475279001415,2.6701978941738482,9.865596788841515,0.016936209317112757,328.8,2.4303092812908624,5.384495062789089,2.5527958845405627,1.9376111184840028,1.0092558646796812,0.8024198957071644,0.023259755123464423,0.5679976837794966,1.665818245870208
8/13/2012,5.2859410954799815,2.7339853612515665,11.325634640054393,0.01940942451189996,350.65,2.331277385480287,5.318119993844216,2.4543142234854245,2.1386384783834775,1.0109390551365798,0.727923736435849,0.022241056972191257,0.7294831946591662,1.7227665977411035
8/20/2012,5.103336011607292,2.764195672596103,9.865596788841515,0.022239808876499314,197.58125,2.15284745872151,5.159055299214529,2.2422793894813715,2.301818887590561,1.0130388397412702,0.6883461318788926,0.021430991222245326,0.9196323380840113,1.3912819026309295
9/17/2012,3.718195508447989,1.9406384633190017,7.135825109964509,0.02645861911175364,205.3791667,1.6387549147799128,4.51085950651685,2.265872763550655,1.8275409675402141,1.0090725640156977,0.6099082429786347,0.01669076141122531,0.8762428476531935,3.192531849528599
9/24/2012,3.6098362467734835,1.4954225433459287,7.135825109964509,0.02578214663740945,237.6,1.6384255695741883,4.411585436915426,2.387580746632961,1.3929020035966133,1.0060740345640717,0.6006939852963615,0.01604364133339525,0.7189919043372235,1.9892432737616872
9/24/2012,3.6098362467734835,1.4954225433459287,7.135825109964509,0.02578214663740945,237.6,1.6384255695741883,4.411585436915426,2.387580746632961,1.3929020035966133,1.0060740345640717,0.6006939852963615,0.01604364133339525,0.7189919043372235,1.7544036826842861
10/15/2012,4.265914077990263,0.7796949857231094,5.953990258641679,0.022749031400969535,99.1375,2.140337878903686,4.1494437110824345,2.0568910695773455,1.3464052146511793,1.0017213355796164,0.5502679462000637,0.0221704966156766,0.48541497701077707,4.730921391293652
10/22/2012,4.267316996289947,0.9397151673835591,5.953990258641679,0.021646726879247773,165.875,2.3652169765473126,4.012941292000183,1.6683523538262945,1.6831388217717218,1.0015691938727571,0.5238528841147203,0.025540040963937853,0.4419328648390382,4.060960118202517
11/5/2012,4.3255885495701785,1.13832361961159,5.953990258641679,0.022313268096387777,141.65,2.481170569504308,3.7399364539736335,1.4495882372101432,1.882881739649554,1.0011187934400996,0.44251711120499476,0.023488095484686982,0.3784376281852876,4.385645080196593
11/13/2012,4.360547602996758,1.1975851856224948,5.953990258641679,0.027316284823497315,135.7125,2.361816809627147,3.5839336893794984,1.812525466594929,1.80419176234593,1.0007506854968817,0.37582791516740904,0.01690815094528979,0.3650866089792882,3.784189633918261
11/19/2012,4.403054001865957,1.2231417933683995,5.953990258641679,0.03178041031174956,147.35,2.189075355193425,3.4669316157749575,2.1334438516830327,1.6515599990500003,1.000436582517106,0.3150856738429868,0.009845162014627875,0.3553313713491783,3.5524868292083815
12/3/2012,4.288814252951703,1.2711917635188699,5.953990258641679,0.04443747022203187,87.5,1.9312460990261155,3.1939267776012676,2.3458622042972865,1.2508955425436254,0.9999559584491841,0.15883523489911625,-0.0009442855829100425,0.34493361299697,3.269568939183719
12/3/2012,4.288814252951703,1.2711917635188699,5.953990258641679,0.04443747022203187,87.5,1.9312460990261155,3.1939267776012676,2.3458622042972865,1.2508955425436254,0.9999559584491841,0.15883523489911625,-0.0009442855829100425,0.34493361299697,3.173878458937465
