Date,TOC,TP,Turbidity
1/23/2020,3.110152895,0.003191473,0.666653349
1/24/2020,3.111513962,0.003541515,0.668620598
1/25/2020,3.112967016,0.003901629,0.670615719
1/26/2020,3.114513142,0.004270541,0.672649703
1/27/2020,3.116153426,0.004646977,0.674733541
1/28/2020,3.117888953,0.005029662,0.676878222
1/29/2020,3.11972081,0.005417324,0.679094736
1/30/2020,3.121650082,0.005808688,0.681394074
1/31/2020,3.123677854,0.00620248,0.683787227
2/1/2020,3.125805213,0.006597426,0.686285183
2/2/2020,3.128033244,0.006992253,0.688898935
2/3/2020,3.130363033,0.007385687,0.691639471
2/4/2020,3.132795665,0.007776453,0.694517782
2/5/2020,3.135332227,0.008163279,0.697544859
2/6/2020,3.137973805,0.008544889,0.700731691
2/7/2020,3.140721482,0.008920011,0.704089269
2/8/2020,3.143576347,0.00928737,0.707628584
2/9/2020,3.146539484,0.009645692,0.711360624
2/10/2020,3.149611979,0.009993704,0.715296381
2/11/2020,3.152794917,0.010330132,0.719446845
2/12/2020,3.156089385,0.010653702,0.723823007
2/13/2020,3.159496469,0.010963139,0.728435855
2/14/2020,3.163017253,0.011257171,0.733296381
2/15/2020,3.166652824,0.011534523,0.738415575
2/16/2020,3.170404267,0.011793921,0.743804427
2/17/2020,3.174272669,0.012034091,0.749473928
2/18/2020,3.178259114,0.012253761,0.755435067
2/19/2020,3.182364689,0.012451654,0.761698835
2/20/2020,3.18659048,0.012626499,0.768276222
2/21/2020,3.190937571,0.012777021,0.775178218
2/22/2020,3.195407049,0.012901946,0.782415814
2/23/2020,3.2,0.013,0.79
2/24/2020,3.210393615,0.013080286,0.821085986
2/25/2020,3.231361614,0.013153302,0.895200052
2/26/2020,3.26154987,0.013219865,1.006909791
2/27/2020,3.299604261,0.013280793,1.150782796
2/28/2020,3.344170661,0.013336903,1.32138666
2/29/2020,3.393894945,0.013389014,1.513288977
3/1/2020,3.44742299,0.013437942,1.721057339
3/2/2020,3.50340067,0.013484506,1.939259341
3/3/2020,3.56047386,0.013529524,2.162462574
3/4/2020,3.617288437,0.013573813,2.385234633
3/5/2020,3.672490275,0.01361819,2.602143111
3/6/2020,3.72472525,0.013663473,2.8077556
3/7/2020,3.772639238,0.013710481,2.996639694
3/8/2020,3.814878113,0.013760031,3.163362986
3/9/2020,3.850087752,0.013812939,3.302493069
3/10/2020,3.876914029,0.013870026,3.408597537
3/11/2020,3.89400282,0.013932107,3.476243983
3/12/2020,3.9,0.014,3.5
3/13/2020,3.89565,0.014078643,3.48695
3/14/2020,3.8832,0.014171137,3.4496
3/15/2020,3.86355,0.014275549,3.39065
3/16/2020,3.8376,0.014389945,3.3128
3/17/2020,3.80625,0.014512391,3.21875
3/18/2020,3.7704,0.014640953,3.1112
3/19/2020,3.73095,0.014773696,2.99285
3/20/2020,3.6888,0.014908688,2.8664
3/21/2020,3.64485,0.015043994,2.73455
3/22/2020,3.6,0.015177681,2.6
3/23/2020,3.55515,0.015307814,2.46545
3/24/2020,3.5112,0.015432459,2.3336
3/25/2020,3.46905,0.015549683,2.20715
3/26/2020,3.4296,0.015657551,2.0888
3/27/2020,3.39375,0.01575413,1.98125
3/28/2020,3.3624,0.015837486,1.8872
3/29/2020,3.33645,0.015905685,1.80935
3/30/2020,3.3168,0.015956793,1.7504
3/31/2020,3.30435,0.015988876,1.71305
4/1/2020,3.3,0.016,1.7
4/2/2020,3.300199975,0.015995456,1.701135974
4/3/2020,3.300785865,0.015982167,1.704458162
4/4/2020,3.301736614,0.015960648,1.709837963
4/5/2020,3.303031171,0.015931413,1.717146776
4/6/2020,3.304648479,0.015894976,1.726256001
4/7/2020,3.306567486,0.015851852,1.737037037
4/8/2020,3.308767138,0.015802555,1.749361283
4/9/2020,3.311226381,0.015747599,1.763100137
4/10/2020,3.31392416,0.0156875,1.778125
4/11/2020,3.316839422,0.015622771,1.79430727
4/12/2020,3.319951113,0.015553927,1.811518347
4/13/2020,3.323238179,0.015481481,1.82962963
4/14/2020,3.326679566,0.01540595,1.848512517
4/15/2020,3.33025422,0.015327846,1.868038409
4/16/2020,3.333941087,0.015247685,1.888078704
4/17/2020,3.337719113,0.015165981,1.908504801
4/18/2020,3.341567244,0.015083248,1.9291881
4/19/2020,3.345464427,0.015,1.95
4/20/2020,3.349389607,0.014916752,1.9708119
4/21/2020,3.35332173,0.014834019,1.991495199
4/22/2020,3.357239743,0.014752315,2.011921296
4/23/2020,3.361122592,0.014672154,2.031961591
4/24/2020,3.364949222,0.01459405,2.051487483
4/25/2020,3.36869858,0.014518519,2.07037037
4/26/2020,3.372349612,0.014446073,2.088481653
4/27/2020,3.375881263,0.014377229,2.10569273
4/28/2020,3.37927248,0.0143125,2.121875
4/29/2020,3.382502209,0.014252401,2.136899863
4/30/2020,3.385549397,0.014197445,2.150638717
5/1/2020,3.388392988,0.014148148,2.162962963
5/2/2020,3.391011929,0.014105024,2.173743999
5/3/2020,3.393385167,0.014068587,2.182853224
5/4/2020,3.395491647,0.014039352,2.190162037
5/5/2020,3.397310315,0.014017833,2.195541838
5/6/2020,3.398820117,0.014004544,2.198864026
5/7/2020,3.4,0.014,2.2
5/8/2020,3.400976731,0.014014343,2.196299438
5/9/2020,3.401893593,0.014056152,2.185512695
5/10/2020,3.402754303,0.014123596,2.168112183
5/11/2020,3.403562579,0.014214844,2.144570313
5/12/2020,3.404322139,0.014328064,2.115359497
5/13/2020,3.4050367,0.014461426,2.080952148
5/14/2020,3.40570998,0.014613098,2.041820679
5/15/2020,3.406345697,0.01478125,1.9984375
5/16/2020,3.406947569,0.01496405,1.951275024
5/17/2020,3.407519313,0.015159668,1.900805664
5/18/2020,3.408064647,0.015366272,1.847501831
5/19/2020,3.408587288,0.015582031,1.791835938
5/20/2020,3.409090955,0.015805115,1.734280396
5/21/2020,3.409579365,0.016033691,1.675307617
5/22/2020,3.410056236,0.01626593,1.615390015
5/23/2020,3.410525285,0.0165,1.555
5/24/2020,3.410990231,0.01673407,1.494609985
5/25/2020,3.41145479,0.016966309,1.434692383
5/26/2020,3.411922681,0.017194885,1.375719604
5/27/2020,3.412397621,0.017417969,1.318164063
5/28/2020,3.412883329,0.017633728,1.262498169
5/29/2020,3.413383521,0.017840332,1.209194336
5/30/2020,3.413901916,0.01803595,1.158724976
5/31/2020,3.41444223,0.01821875,1.1115625
6/1/2020,3.415008183,0.018386902,1.068179321
6/2/2020,3.415603491,0.018538574,1.029047852
6/3/2020,3.416231873,0.018671936,0.994640503
6/4/2020,3.416897045,0.018785156,0.965429688
6/5/2020,3.417602727,0.018876404,0.941887817
6/6/2020,3.418352634,0.018943848,0.924487305
6/7/2020,3.419150486,0.018985657,0.913700562
6/8/2020,3.42,0.019,0.91
6/9/2020,3.420939768,0.01899014,0.910020104
6/10/2020,3.422001926,0.018961105,0.910081518
6/11/2020,3.423180504,0.018913709,0.910185894
6/12/2020,3.424469533,0.01884877,0.910334883
6/13/2020,3.425863044,0.018767104,0.910530138
6/14/2020,3.427355067,0.018669525,0.91077331
6/15/2020,3.428939632,0.018556851,0.911066051
6/16/2020,3.430610772,0.018429897,0.911410014
6/17/2020,3.432362515,0.01828948,0.911806849
6/18/2020,3.434188894,0.018136414,0.91225821
6/19/2020,3.436083938,0.017971517,0.912765747
6/20/2020,3.438041679,0.017795604,0.913331113
6/21/2020,3.440056146,0.017609491,0.91395596
6/22/2020,3.442121372,0.017413994,0.91464194
6/23/2020,3.444231385,0.01720993,0.915390703
6/24/2020,3.446380218,0.016998113,0.916203904
6/25/2020,3.4485619,0.016779361,0.917083192
