Date,Water Temp
6/1/2012,17.07590185
6/2/2012,17.543800616822647
6/3/2012,17.999792906531077
6/4/2012,18.44387871912531
6/5/2012,18.87605805460533
6/6/2012,19.296330912971154
6/7/2012,19.70469729422277
6/8/2012,20.10115719836018
6/9/2012,20.485710625383383
6/10/2012,20.85835757529238
6/11/2012,21.219098048087183
6/12/2012,21.567932043767772
6/13/2012,21.904859562334153
6/14/2012,22.22988060378633
6/15/2012,22.542995168124307
6/16/2012,22.844203255348077
6/17/2012,23.13350486545764
6/18/2012,23.410899998452997
6/19/2012,23.676388654334158
6/20/2012,23.9299708331011
6/21/2012,24.171646534753844
6/22/2012,24.401415759292384
6/23/2012,24.619278506716718
6/24/2012,24.825234777026846
6/25/2012,25.019284570222766
6/26/2012,25.201427886304486
6/27/2012,25.371664725272
6/28/2012,25.529995087125307
6/29/2012,25.676418971864415
6/30/2012,25.810936379489313
7/1/2012,25.93354731
7/2/2012,26.044251763396492
7/3/2012,26.143049739678773
7/4/2012,26.229941238846855
7/5/2012,26.30492626090072
7/6/2012,26.368004805840393
7/7/2012,26.419176873665855
7/8/2012,26.458442464377114
7/9/2012,26.485801577974165
7/10/2012,26.50125421445701
7/11/2012,26.504800373825653
7/12/2012,26.49644005608009
7/13/2012,26.47617326122032
7/14/2012,26.44399998924635
7/15/2012,26.399920240158174
7/16/2012,26.34393401395579
7/17/2012,26.27640531316034
7/18/2012,26.199518152898655
7/19/2012,26.11363653569187
7/20/2012,26.01876046153999
7/21/2012,25.914889930443028
7/22/2012,25.802024942400955
7/23/2012,25.680165497413793
7/24/2012,25.549311595481534
7/25/2012,25.40946323660417
7/26/2012,25.26062042078172
7/27/2012,25.102783148014172
7/28/2012,24.935951418301528
7/29/2012,24.760125231643794
7/30/2012,24.575304588040957
7/31/2012,24.381489487493024
8/1/2012,24.17867993
8/2/2012,23.966875915561868
8/3/2012,23.74607744417865
8/4/2012,23.516284515850337
8/5/2012,23.277497130576926
8/6/2012,23.02971528835841
8/7/2012,22.77293898919481
8/8/2012,22.507168233086112
8/9/2012,22.232403020032315
8/10/2012,21.948643350033425
8/11/2012,21.65588922308944
8/12/2012,21.354140639200352
8/13/2012,21.043397598366177
8/14/2012,20.723660100586898
8/15/2012,20.39492814586253
8/16/2012,20.05720173419306
8/17/2012,19.712578956262213
8/18/2012,19.373648356172286
8/19/2012,19.042508024606988
8/20/2012,18.719157961566335
8/21/2012,18.403598167050315
8/22/2012,18.095828641058926
8/23/2012,17.795849383592174
8/24/2012,17.503660394650062
8/25/2012,17.219261674232577
8/26/2012,16.94265322233973
8/27/2012,16.673835038971525
8/28/2012,16.412807124127944
8/29/2012,16.159569477809008
8/30/2012,15.914122100014705
8/31/2012,15.676464990745036
9/1/2012,15.44659815
9/2/2012,15.224521577779603
9/3/2012,15.010235274083842
9/4/2012,14.80373923891271
9/5/2012,14.60503347226622
9/6/2012,14.414117974144364
9/7/2012,14.230992744547141
9/8/2012,14.055657783474555
9/9/2012,13.888113090926604
9/10/2012,13.728358666903288
9/11/2012,13.57639451140461
9/12/2012,13.432220624430563
9/13/2012,13.295837005981156
9/14/2012,13.167243656056378
9/15/2012,13.04644057465624
9/16/2012,12.933427761780736
9/17/2012,12.826794644533848
9/18/2012,12.725130650019556
9/19/2012,12.628435778237861
9/20/2012,12.536710029188761
9/21/2012,12.449953402872257
9/22/2012,12.36816589928835
9/23/2012,12.291347518437037
9/24/2012,12.219498260318321
9/25/2012,12.152618124932202
9/26/2012,12.090707112278677
9/27/2012,12.033765222357747
9/28/2012,11.981792455169417
9/29/2012,11.934788810713682
9/30/2012,11.892754288990544
10/1/2012,11.85568889
10/2/2012,11.82359261374205
10/3/2012,11.7964654602167
10/4/2012,11.774307429423944
10/5/2012,11.757118521363783
10/6/2012,11.74489873603622
10/7/2012,11.737648073441253
10/8/2012,11.73536653357888
10/9/2012,11.738054116449106
10/10/2012,11.745710822051924
10/11/2012,11.758336650387342
10/12/2012,11.775931601455355
10/13/2012,11.798495675255964
10/14/2012,11.82602887178917
10/15/2012,11.85853119105497
10/16/2012,11.896002633053367
10/17/2012,11.936263569973057
10/18/2012,11.966236234946233
10/19/2012,11.983741000161594
10/20/2012,11.988777865619136
10/21/2012,11.981346831318865
10/22/2012,11.961447897260774
10/23/2012,11.929081063444869
10/24/2012,11.88424632987115
10/25/2012,11.826943696539612
10/26/2012,11.757173163450261
10/27/2012,11.674934730603088
10/28/2012,11.580228397998102
10/29/2012,11.473054165635302
10/30/2012,11.353412033514685
10/31/2012,11.22130200163625
11/1/2012,11.07672407
11/2/2012,10.91967823860593
11/3/2012,10.750164507454047
11/4/2012,10.568182876544347
11/5/2012,10.373733345876829
11/6/2012,10.1668159154515
11/7/2012,9.947430585268352
11/8/2012,9.715577355327387
11/9/2012,9.471256225628606
11/10/2012,9.21446719617201
11/11/2012,8.945210266957595
11/12/2012,8.663485437985365
11/13/2012,8.369292709255319
11/14/2012,8.06263208076746
11/15/2012,7.743503552521779
11/16/2012,7.411907124518285
11/17/2012,7.080228666087962
11/18/2012,6.760854046561796
11/19/2012,6.453783265939788
11/20/2012,6.159016324221938
11/21/2012,5.876553221408246
11/22/2012,5.60639395749871
11/23/2012,5.348538532493334
11/24/2012,5.102986946392115
11/25/2012,4.869739199195053
11/26/2012,4.64879529090215
11/27/2012,4.440155221513405
11/28/2012,4.243818991028816
11/29/2012,4.059786599448387
11/30/2012,3.888058046772115
12/1/2012,3.728633333
12/2/2012,3.581512458132044
12/3/2012,3.4466954221682444
