Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
1/29/2020,2.9,0.001993043,1.457626499
1/30/2020,2.9,0.002179269,1.454586099
1/31/2020,2.9,0.002373894,1.4515304
2/1/2020,2.9,0.00257693,1.4484696
2/2/2020,2.9,0.002788386,1.445413901
2/3/2020,2.9,0.003008273,1.442373501
2/4/2020,2.9,0.003236602,1.439358601
2/5/2020,2.9,0.003473382,1.4363794
2/6/2020,2.9,0.003718625,1.433446098
2/7/2020,2.9,0.00397234,1.430568896
2/8/2020,2.9,0.004234539,1.427757992
2/9/2020,2.9,0.004505232,1.425023587
2/10/2020,2.9,0.004784429,1.422375881
2/11/2020,2.9,0.00507214,1.419825073
2/12/2020,2.9,0.005368377,1.417381363
2/13/2020,2.9,0.005673149,1.415054952
2/14/2020,2.9,0.005986468,1.412856038
2/15/2020,2.9,0.006308342,1.410794822
2/16/2020,2.9,0.006638784,1.408881503
2/17/2020,2.9,0.006977803,1.407126282
2/18/2020,2.9,0.00732541,1.405539359
2/19/2020,2.9,0.007681616,1.404130932
2/20/2020,2.9,0.00804643,1.402911202
2/21/2020,2.9,0.008419864,1.401890369
2/22/2020,2.9,0.008801927,1.401078632
2/23/2020,2.9,0.009192631,1.400486192
2/24/2020,2.9,0.009591985,1.400123248
2/25/2020,2.9,0.01,1.4
2/26/2020,2.898876953,0.010631948,1.407861328
2/27/2020,2.895703125,0.01166266,1.430078125
2/28/2020,2.890771484,0.013031489,1.464599609
2/29/2020,2.884375,0.014677786,1.509375
3/1/2020,2.876806641,0.016540904,1.562353516
3/2/2020,2.868359375,0.018560194,1.621484375
3/3/2020,2.859326172,0.020675008,1.684716797
3/4/2020,2.85,0.022824699,1.75
3/5/2020,2.840673828,0.024948617,1.815283203
3/6/2020,2.831640625,0.026986116,1.878515625
3/7/2020,2.823193359,0.028876547,1.937646484
3/8/2020,2.815625,0.030559262,1.990625
3/9/2020,2.809228516,0.031973613,2.035400391
3/10/2020,2.804296875,0.033058951,2.069921875
3/11/2020,2.801123047,0.03375463,2.092138672
3/12/2020,2.8,0.034,2.1
3/13/2020,2.8,0.033872996,2.099174563
3/14/2020,2.8,0.033504373,2.096763848
3/15/2020,2.8,0.032912719,2.092866254
3/16/2020,2.8,0.032116618,2.087580175
3/17/2020,2.8,0.031134657,2.081004009
3/18/2020,2.8,0.029985423,2.073236152
3/19/2020,2.8,0.0286875,2.064375
3/20/2020,2.8,0.027259475,2.05451895
3/21/2020,2.8,0.025719934,2.043766399
3/22/2020,2.8,0.024087464,2.032215743
3/23/2020,2.8,0.022380649,2.019965379
3/24/2020,2.8,0.020618076,2.007113703
3/25/2020,2.8,0.018818331,1.993759111
3/26/2020,2.8,0.017,1.98
3/27/2020,2.8,0.015181669,1.965934767
3/28/2020,2.8,0.013381924,1.951661808
3/29/2020,2.8,0.011619351,1.937279519
3/30/2020,2.8,0.009912536,1.922886297
3/31/2020,2.8,0.008280066,1.908580539
4/1/2020,2.8,0.006740525,1.894460641
4/2/2020,2.8,0.0053125,1.880625
4/3/2020,2.8,0.004014577,1.867172012
4/4/2020,2.8,0.002865343,1.854200073
4/5/2020,2.8,0.001883382,1.84180758
4/6/2020,2.8,0.001087281,1.83009293
4/7/2020,2.8,0.000495627,1.819154519
4/8/2020,2.8,0.000127004,1.809090743
4/9/2020,2.8,0,1.8
4/10/2020,2.800394335,5.23E-05,1.791282799
4/11/2020,2.801556714,0.000204082,1.782303207
4/12/2020,2.803456196,0.000447704,1.773104956
4/13/2020,2.806061839,0.00077551,1.763731778
4/14/2020,2.809342704,0.001179847,1.754227405
4/15/2020,2.81326785,0.001653061,1.744635569
4/16/2020,2.817806335,0.0021875,1.735
4/17/2020,2.82292722,0.00277551,1.725364431
4/18/2020,2.828599563,0.003409439,1.715772595
4/19/2020,2.834792423,0.004081633,1.706268222
4/20/2020,2.841474861,0.004784439,1.696895044
4/21/2020,2.848615935,0.005510204,1.687696793
4/22/2020,2.856184704,0.006251276,1.678717201
4/23/2020,2.864150228,0.007,1.67
4/24/2020,2.872481566,0.007748724,1.661588921
4/25/2020,2.881147777,0.008489796,1.653527697
4/26/2020,2.89011792,0.009215561,1.645860058
4/27/2020,2.899361056,0.009918367,1.638629738
4/28/2020,2.908846243,0.010590561,1.631880466
4/29/2020,2.918542539,0.01122449,1.625655977
4/30/2020,2.928419006,0.0118125,1.62
5/1/2020,2.938444702,0.012346939,1.614956268
5/2/2020,2.948588685,0.012820153,1.610568513
5/3/2020,2.958820016,0.01322449,1.606880466
5/4/2020,2.969107754,0.013552296,1.60393586
5/5/2020,2.979420958,0.013795918,1.601778426
5/6/2020,2.989728687,0.013947704,1.600451895
5/7/2020,3,0.014,1.6
5/8/2020,3.011333812,0.014,1.604302979
5/9/2020,3.024743189,0.014,1.616845703
5/10/2020,3.040068422,0.014,1.637078857
5/11/2020,3.057149801,0.014,1.664453125
5/12/2020,3.075827614,0.014,1.698419189
