Date,"Adjusted TOC, NF Above Conf.","Adjusted TP, NF Above Conf.","Adjusted turbidity, NF Above Conf."
2/15/2020,0.8,0,2.092578039
2/16/2020,0.8,0,2.145642914
2/17/2020,0.8,0,2.198272831
2/18/2020,0.8,0,2.250379965
2/19/2020,0.8,0,2.30187649
2/20/2020,0.8,0,2.352674582
2/21/2020,0.8,0,2.402686415
2/22/2020,0.8,0,2.451824162
2/23/2020,0.8,0,2.5
2/24/2020,0.809807956,9.08E-05,2.551432869
2/25/2020,0.837722908,0.000351421,2.609616982
2/26/2020,0.881481481,0.000763848,2.673377423
2/27/2020,0.938820302,0.001310221,2.741539275
2/28/2020,1.007475995,0.001972639,2.812927622
2/29/2020,1.085185185,0.002733203,2.886367546
3/1/2020,1.169684499,0.003574015,2.960684131
3/2/2020,1.258710562,0.004477173,3.03470246
3/3/2020,1.35,0.00542478,3.107247617
3/4/2020,1.441289438,0.006398936,3.177144684
3/5/2020,1.530315501,0.007381741,3.243218745
3/6/2020,1.614814815,0.008355295,3.304294884
3/7/2020,1.692524005,0.0093017,3.359198183
3/8/2020,1.761179698,0.010203056,3.406753726
3/9/2020,1.818518519,0.011041463,3.445786596
3/10/2020,1.862277092,0.011799023,3.475121876
3/11/2020,1.890192044,0.012457835,3.493584649
3/12/2020,1.9,0.013,3.5
3/13/2020,1.898023971,0.013482189,3.484850448
3/14/2020,1.892355037,0.013970948,3.441388619
3/15/2020,1.883381924,0.014463189,3.372594752
3/16/2020,1.871493359,0.014955826,3.281449088
3/17/2020,1.857078069,0.015445772,3.170931865
3/18/2020,1.840524781,0.015929939,3.044023324
3/19/2020,1.822222222,0.016405242,2.903703704
3/20/2020,1.802559119,0.016868593,2.752953245
3/21/2020,1.781924198,0.017316905,2.594752187
3/22/2020,1.760706187,0.017747092,2.432080769
3/23/2020,1.739293813,0.018156065,2.267919231
3/24/2020,1.718075802,0.01854074,2.105247813
3/25/2020,1.697440881,0.018898028,1.947046755
3/26/2020,1.677777778,0.019224843,1.796296296
3/27/2020,1.659475219,0.019518098,1.655976676
3/28/2020,1.642921931,0.019774706,1.529068135
3/29/2020,1.628506641,0.01999158,1.418550912
3/30/2020,1.616618076,0.020165634,1.327405248
3/31/2020,1.607644963,0.020293779,1.258611381
4/1/2020,1.601976029,0.02037293,1.215149552
4/2/2020,1.6,0.0204,1.2
4/3/2020,1.602326892,0.020390659,1.201379807
4/4/2020,1.60917684,0.020363198,1.205479087
4/5/2020,1.620353753,0.020318459,1.212237631
4/6/2020,1.635661539,0.020257286,1.22159523
4/7/2020,1.654904108,0.020180521,1.233491674
4/8/2020,1.677885367,0.020089007,1.247866755
4/9/2020,1.704409226,0.019983587,1.264660263
4/10/2020,1.734279594,0.019865104,1.283811989
4/11/2020,1.767300378,0.0197344,1.305261723
4/12/2020,1.803275488,0.019592318,1.328949256
4/13/2020,1.842008833,0.019439702,1.354814378
4/14/2020,1.88330432,0.019277393,1.382796881
4/15/2020,1.926965859,0.019106234,1.412836556
4/16/2020,1.972797359,0.018927069,1.444873192
4/17/2020,2.020602727,0.018740741,1.47884658
4/18/2020,2.070185874,0.018548091,1.514696512
4/19/2020,2.121350706,0.018349963,1.552362778
4/20/2020,2.173901134,0.0181472,1.591785168
4/21/2020,2.227641066,0.017940644,1.632903474
4/22/2020,2.282374411,0.017731139,1.675657485
4/23/2020,2.337905076,0.017519526,1.719986994
4/24/2020,2.394036972,0.017306649,1.765831789
4/25/2020,2.450574006,0.017093351,1.813131663
4/26/2020,2.507320087,0.016880474,1.861826405
4/27/2020,2.564079124,0.016668861,1.911855807
4/28/2020,2.620655026,0.016459356,1.963159659
4/29/2020,2.676851702,0.0162528,2.015677752
4/30/2020,2.732473059,0.016050037,2.069349877
5/1/2020,2.787323007,0.015851909,2.124115823
5/2/2020,2.841205454,0.015659259,2.179915383
5/3/2020,2.89392431,0.015472931,2.236688346
5/4/2020,2.945283482,0.015293766,2.294374504
5/5/2020,2.99508688,0.015122607,2.352913646
5/6/2020,3.043138412,0.014960298,2.412245565
5/7/2020,3.089241986,0.014807682,2.472310049
5/8/2020,3.133201513,0.0146656,2.533046891
5/9/2020,3.174820899,0.014534896,2.59439588
5/10/2020,3.213904054,0.014416413,2.656296808
5/11/2020,3.250254887,0.014310993,2.718689466
5/12/2020,3.283677306,0.014219479,2.781513643
5/13/2020,3.31397522,0.014142714,2.84470913
5/14/2020,3.340952538,0.014081541,2.908215719
5/15/2020,3.364413168,0.014036802,2.9719732
5/16/2020,3.384161019,0.014009341,3.035921363
5/17/2020,3.4,0.014,3.1
5/18/2020,3.413793548,0.014024042,3.17248677
5/19/2020,3.427499775,0.014093163,3.260495851
5/20/2020,3.441064597,0.014202855,3.362221813
5/21/2020,3.454433932,0.01434861,3.475859226
5/22/2020,3.467553699,0.01452592,3.599602658
5/23/2020,3.480369815,0.014730278,3.731646681
5/24/2020,3.492828198,0.014957175,3.870185863
5/25/2020,3.504874765,0.015202104,4.013414774
5/26/2020,3.516455434,0.015460556,4.159527983
5/27/2020,3.527516123,0.015728024,4.30672006
5/28/2020,3.53800275,0.016,4.453185574
5/29/2020,3.547861232,0.016271976,4.597119096
5/30/2020,3.557037487,0.016539444,4.736715194
5/31/2020,3.565477434,0.016797896,4.870168438
6/1/2020,3.573126988,0.017042825,4.995673398
6/2/2020,3.579932069,0.017269722,5.111424644
6/3/2020,3.585838594,0.01747408,5.215616744
6/4/2020,3.590792481,0.01765139,5.306444268
6/5/2020,3.594739647,0.017797145,5.382101786
6/6/2020,3.597626011,0.017906837,5.440783868
6/7/2020,3.599397489,0.017975958,5.480685083
6/8/2020,3.6,0.018,5.5
6/9/2020,3.594135294,0.017973524,5.508254375
6/10/2020,3.577195043,0.017896504,5.516175497
6/11/2020,3.550160049,0.017772553,5.523760241
6/12/2020,3.514011116,0.017605281,5.531005479
6/13/2020,3.469729046,0.0173983,5.537908083
6/14/2020,3.41829464,0.017155223,5.544464928
6/15/2020,3.360688702,0.016879662,5.550672886
6/16/2020,3.297892034,0.016575227,5.55652883
6/17/2020,3.230885438,0.016245531,5.562029634
6/18/2020,3.160649716,0.015894187,5.567172169
6/19/2020,3.088165671,0.015524804,5.57195331
6/20/2020,3.014414105,0.015140996,5.576369929
6/21/2020,2.940375822,0.014746374,5.5804189
6/22/2020,2.867031622,0.014344551,5.584097095
6/23/2020,2.795362308,0.013939137,5.587401388
6/24/2020,2.726348684,0.013533745,5.59032865
6/25/2020,2.66097155,0.013131986,5.592875757
6/26/2020,2.600211711,0.012737473,5.59503958
6/27/2020,2.545049967,0.012353817,5.596816993
6/28/2020,2.496467122,0.011984629,5.598204868
6/29/2020,2.455443977,0.011633523,5.599200079
6/30/2020,2.422961336,0.011304109,5.599799499
7/1/2020,2.4,0.011,5.6
7/2/2020,2.382601509,0.010703797,5.59413375
7/3/2020,2.36612498,0.010396343,5.576893077
7/4/2020,2.350527579,0.010078613,5.548815096
7/5/2020,2.335766473,0.00975158,5.510436923
7/6/2020,2.321798829,0.009416219,5.462295673
7/7/2020,2.308581815,0.009073503,5.404928462
7/8/2020,2.296072596,0.008724407,5.338872404
7/9/2020,2.284228341,0.008369904,5.264664615
7/10/2020,2.273006216,0.008010969,5.182842212
7/11/2020,2.262363388,0.007648576,5.093942308
7/12/2020,2.252257024,0.007283699,4.998502019
7/13/2020,2.242644292,0.006917312,4.897058462
7/14/2020,2.233482357,0.006550388,4.79014875
7/15/2020,2.224728388,0.006183903,4.67831
7/16/2020,2.216339551,0.00581883,4.562079327
7/17/2020,2.208273013,0.005456142,4.441993846
7/18/2020,2.200485941,0.005096815,4.318590673
7/19/2020,2.192935502,0.004741822,4.192406923
