SAMPLE_NUMBER,SAMPLED_DATE,SAMPLE_NAME,SAMPLING_POINT_DESCRIPTION,SITE,FACILITY,ANALYTE,FORMATTED_ENTRY,UNITS,DEPTH,Target,Date,Time
430844,7/31/17 10:55,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,5,ng/L,8,MLOWM,7/31/2017,10:55:00
430851,7/31/17 11:00,RS-MR-01-16,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,16,MLOWL,7/31/2017,11:00:00
434367,8/14/17 13:35,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.48,ng/L,1,MLOWH,8/14/2017,13:35:00
434374,8/14/17 13:40,RS-MR-01-4,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,11.57,ng/L,4,MLOWM,8/14/2017,13:40:00
434381,8/14/17 13:45,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4.87,ng/L,8,MLOWM,8/14/2017,13:45:00
434388,8/14/17 13:50,RS-MR-01-16,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1.41,ng/L,16,MLOWL,8/14/2017,13:50:00
440617,9/18/17 14:20,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,8,MLOWM,9/18/2017,14:20:00
441483,9/22/17 11:30,RS-MR-01-A-4,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,4,MLOWM,9/22/2017,11:30:00
441486,9/22/17 11:32,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,8,MLOWM,9/22/2017,11:32:00
448348,10/25/17 8:35,RS-MR-01-A-4,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,4,MLOWM,10/25/2017,8:35:00
448353,10/25/17 8:45,RS-MR-01-A-12,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,12,MLOWM,10/25/2017,8:45:00
473512,3/29/18 15:25,RS-MR-01-A-1,Immediately south of Marston intake tower,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,1,MLOWH,3/29/2018,15:25:00
473863,3/29/18 15:30,RS-MR-01-A-8,,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,8,MLOWM,3/29/2018,15:30:00
489459,6/13/18 14:40,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,1,MLOWH,6/13/2018,14:40:00
489469,6/13/18 15:04,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,8,MLOWM,6/13/2018,15:04:00
489476,6/13/18 15:17,RS-MR-01-16,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,2,ng/L,16,MLOWL,6/13/2018,15:17:00
492793,6/27/18 14:25,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,1,ng/L,8,MLOWM,6/27/2018,14:25:00
497734,7/25/18 14:40,RS-MR-01-17,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,6,ng/L,17,MLOWL,7/25/2018,14:40:00
498886,7/31/18 14:40,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,38,ng/L,1,MLOWH,7/31/2018,14:40:00
498898,7/31/18 14:55,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,37,ng/L,8,MLOWM,7/31/2018,14:55:00
498904,7/31/18 15:10,RS-MR-01-16,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,4,ng/L,16,MLOWL,7/31/2018,15:10:00
502032,8/8/18 14:25,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,13,ng/L,1,MLOWH,8/8/2018,14:25:00
502039,8/8/18 14:35,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,12,ng/L,8,MLOWM,8/8/2018,14:35:00
502042,8/8/18 14:40,RS-MR-01-17,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,3,ng/L,17,MLOWL,8/8/2018,14:40:00
502050,8/15/18 14:25,RS-MR-01-1,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,13,ng/L,1,MLOWH,8/15/2018,14:25:00
502062,8/15/18 14:45,RS-MR-01-8,Marston Reservoir depth sampling location at buoy,Marston Reservoir Depth Sampling Location at Buoy,Marston,Geosmin,7,ng/L,8,MLOWM,8/15/2018,14:45:00
