Date,"Adjusted TOC, SP Below Chatfield","Adjusted TP, SP Below Chatfield","Adjusted turbidity, SP Below Chatfield"
6/1/2012,2.4,0.018247551,1.9
6/2/2012,2.388701079203785,0.03632186799788726,1.6320154807858196
6/3/2012,2.3804802448992626,0.05374793168787425,1.380443687034686
6/4/2012,2.375337497086434,0.07052574206996097,1.1452846187465993
6/5/2012,2.3732728357652966,0.08665529914414744,0.9265382759215592
6/6/2012,2.3742862609358535,0.10213660291043361,0.7242046585595665
6/7/2012,2.3783777725981032,0.11696965336881951,0.5382837666606204
6/8/2012,2.3855473707520463,0.13115445051930516,0.36877560022472156
6/9/2012,2.3957950553976817,0.1446909943618905,0.21568015925186934
6/10/2012,2.40912082653501,0.1575792848965756,0.07899744374206397
6/11/2012,2.4255246841640328,0.16981932212336046,-0.04127254630469368
6/12/2012,2.445006628284747,0.181411106042245,-0.14512981088840488
6/13/2012,2.4675666588971548,0.19235463665322924,-0.23257435000906934
6/14/2012,2.4932047760012557,0.2026499139563133,-0.3036061636666868
6/15/2012,2.52192097959705,0.212296937951497,-0.3582252518612573
6/16/2012,2.553715269684536,0.22129570863878048,-0.39643161459278065
6/17/2012,2.588587646263716,0.22964622601816365,-0.4182252518612568
6/18/2012,2.6265381093345885,0.2373484900896466,-0.4236061636666866
6/19/2012,2.667566658897155,0.2444025008532293,-0.4125743500090695
6/20/2012,2.7116732949514137,0.2508082583089117,-0.3851298108884049
6/21/2012,2.7588580174973654,0.25656576245669377,-0.34127254630469395
6/22/2012,2.8091208265350103,0.2616750132965756,-0.28100255625793613
6/23/2012,2.8624617220643485,0.26613601082855715,-0.20431984074812992
6/24/2012,2.9188807040853795,0.26994875505263843,-0.11122439977527865
6/25/2012,2.978377772598103,0.2731132459688194,-0.001716233339379425
6/26/2012,3.04095292760252,0.2756294835771002,0.1242046585595662
6/27/2012,3.10660616909863,0.27749746787748075,0.2665382759215591
6/28/2012,3.1753374970864328,0.278717198869961,0.4252846187465993
6/29/2012,3.2471469115659293,0.2792886765545409,0.6004436870346859
6/30/2012,3.322034412537118,0.2792119009312206,0.7920154807858197
7/1/2012,3.4,0.278486872,1.0
7/2/2012,3.4810436739545745,0.27711358976087913,1.2243972446772267
7/3/2012,3.5651654344008428,0.27509205421385796,1.465207214817502
7/4/2012,3.6523652813388043,0.2724222653589366,1.722429910420824
7/5/2012,3.7426432147684583,0.26910422319611493,1.9960653314871917
7/6/2012,3.8359992346898055,0.265137927725393,2.2861134780166075
7/7/2012,3.932433341102846,0.2605233789467708,2.5925743500090697
7/8/2012,4.031945534007579,0.2552605768602483,2.91544794746458
7/9/2012,4.134535813404004,0.2493495214658255,3.254734270383134
7/10/2012,4.240204179292124,0.24279021276350243,3.6104333187647377
7/11/2012,4.3489506316719355,0.23558265075327914,3.9825450926093873
7/12/2012,4.460775170543441,0.22772683543515557,4.3710695919170846
7/13/2012,4.575677795906639,0.21922276680913172,4.776006816687827
7/14/2012,4.69365850776153,0.21007044487520762,5.197356766921619
7/15/2012,4.814717306108115,0.20026986963338328,5.635119442618458
7/16/2012,4.938854190946391,0.18982104108365858,6.089294843778342
7/17/2012,5.064670968612232,0.17885292098106628,6.554484185879616
7/18/2012,5.183778477120853,0.16813927985580224,6.998294761792351
7/19/2012,5.2947785228081266,0.1578090794628991,7.41532778699489
7/20/2012,5.397671105674052,0.1478623198023569,7.805583261487231
7/21/2012,5.492456225718629,0.13829900087417552,8.16906118526938
7/22/2012,5.57913388294186,0.1291191226783551,8.505761558341327
7/23/2012,5.657704077343738,0.12032268521489556,8.815684380703077
7/24/2012,5.728166808924273,0.11190968848379688,9.098829652354633
7/25/2012,5.790522077683457,0.10388013248505913,9.355197373295992
7/26/2012,5.844769883621293,0.09623401721868227,9.584787543527154
7/27/2012,5.890910226737781,0.08897134268466633,9.78760016304812
7/28/2012,5.928943107032921,0.08209210888301126,9.963635231858888
7/29/2012,5.958868524506714,0.0755963158137171,10.112892749959462
7/30/2012,5.980686479159156,0.06948396347678383,10.235372717349838
7/31/2012,5.994396970990252,0.06375505187221146,10.331075134030016
8/1/2012,6.0,0.058409581,10.4
8/2/2012,5.997495566188397,0.05344755086014942,10.442147315259783
8/3/2012,5.986883669555448,0.04886896145265973,10.457517079809374
8/4/2012,5.968164310101151,0.044673812777530957,10.446109293648766
8/5/2012,5.941337487825505,0.04086210483476307,10.407923956777962
8/6/2012,5.906403202728509,0.03743383762435608,10.34296106919696
8/7/2012,5.8633614548101685,0.03438901114630999,10.251220630905763
8/8/2012,5.812212244070477,0.03172762540062479,10.132702641904372
8/9/2012,5.752955570509439,0.0294496803873005,9.987407102192781
8/10/2012,5.685591434127052,0.027555176106337093,9.815334011770993
8/11/2012,5.610119834923317,0.026044112557734592,9.61648337063901
8/12/2012,5.526540772898234,0.024916489741492985,9.390855178796828
8/13/2012,5.434854248051803,0.024172307657612278,9.138449436244453
8/14/2012,5.335060260384023,0.023811566306092463,8.85926614298188
8/15/2012,5.227158809894895,0.023834265686933545,8.55330529900911
8/16/2012,5.111149896584419,0.02424040580013553,8.220566904326144
8/17/2012,4.988435817705546,0.024977517149119378,7.867029100771886
8/18/2012,4.867430356775987,0.025730782754410902,7.5285607393797696
8/19/2012,4.749535811048693,0.026447733119431063,7.2111399619886996
8/20/2012,4.634752180523664,0.02712836824417988,6.9147667685986764
8/21/2012,4.523079465200901,0.027772688128657345,6.639441159209698
8/22/2012,4.414517665080402,0.028380692772863446,6.3851631338217665
8/23/2012,4.309066780162168,0.028952382176798196,6.151932692434881
