,Date,"Water Temperature, MS above Confluence","Water Temperature, NF above Confluence","Water Temperature, Upstream Strontia","Water Temperature, Downstream Strontia","Water Temperature, SP Below Chatfield",Waterton Gage (cfs),"Temp Ch, C (high) ","Chatfield, Low Temp (C)","Waterton Gage, High Water Temp (C)","Waterton Gage, Low Water Temp (C)",South Platte Above Cheesman Flowrate (cfs),South Platte Below Cheesman Downstream (cfs) ,"Cheesman Air Temperature, Low (C)","Water Temperature, Cheesman, low (C)","Cheesman Air Temperature, High (C)","Water Temperature, Cheesman, high (C)",Roberts Tunnel Flowrate (cfs),"Strontia Springs Temperature, high (C)","Strontia Springs Temperature, low (C)",Conduit 20 to Marston Total (No Chatfield water) ,Conduit 20 (with Chatfield flow) (cfs),Marston WTP Outflow (cfs),Strontia Springs Outflow (cfs),"Marston Temperature, high (C)","Marston Temperature, low (C)"
0,6/1/2012,14.55484444,8.586488889,9.083255556,15.35833704,17.07590185,0.27631675464528904,27.8,10.0,19.65216,9.0487,4.8283137373023015,5.41610040220442,9.444444444444445,10.971844444444445,25.555555555555557,19.455955555555555,263.25,26.11111111111111,7.222222222222222,6.624952830020754,7.993122043357026,9.047651629014018,4.574710978503383,22.77777778,8.333333333
1,6/2/2012,14.333172074476234,8.872917147967431,9.45370362063878,15.23684376540727,17.543800616822644,0.2753519536522676,27.8,12.8,19.65216,10.71666,4.812184355372417,5.41610040220442,8.88888888888889,10.67928888888889,27.77777777777778,20.626177777777777,263.25,26.666666666666664,7.222222222222222,6.624952830020754,7.993122043357026,9.047651629014018,4.574710978503383,27.22222222,11.11111111
2,6/3/2012,14.121085653839168,9.148625672019868,9.81386175078293,15.117756822740471,17.999792906531077,0.27631675464528904,31.1,12.2,21.61797,10.35924,4.795790545596741,5.41610040220442,9.444444444444445,10.971844444444445,28.33333333333333,20.91873333333333,263.25,28.88888888888889,11.666666666666666,6.759437846448476,8.104936767180853,9.047651629014018,4.564868889214566,23.88888889,10.55555556
3,6/4/2012,13.918585178088795,9.413614461157309,10.163729946432452,15.001076211999614,18.44387871912531,0.28031610438779486,32.2,17.2,22.27324,13.337739999999998,4.8283137373023015,5.41610040220442,10.555555555555555,11.556955555555554,28.33333333333333,20.91873333333333,247.1,28.88888888888889,11.666666666666666,6.55972560401729,7.939143530633515,9.047651629014018,4.563410251739859,31.11111111,13.88888889
4,6/5/2012,13.725670647225115,9.667883515379753,10.503308207587343,14.886801933184683,18.87605805460533,0.2805222192446974,28.3,16.7,19.95001,13.03989,4.867534450455582,5.41610040220442,10.0,11.2644,24.444444444444443,18.870844444444444,218.6791667,27.77777777777778,13.88888888888889,6.613622305514581,7.983733462484829,9.047651629014018,4.566221435849517,31.66666667,15.55555556
5,6/6/2012,13.54234206124814,9.911432834687202,10.832596534247612,14.774933986295697,19.29633091297115,0.27670648260134734,29.4,10.0,20.60528,9.0487,4.852030263919617,5.41610040220442,11.11111111111111,11.84951111111111,28.33333333333333,20.91873333333333,233.4833333,26.666666666666664,8.88888888888889,6.5719099202591025,7.94921379760288,9.047651629014018,4.578826210648489,28.33333333,16.11111111
6,6/7/2012,13.368599420157857,10.144262419079658,11.151594926413248,14.66547237133264,19.704697294222765,0.2736487021100918,26.7,13.3,18.99689,11.01451,4.820281565605037,5.41610040220442,12.22222222222222,12.43462222222222,28.33333333333333,20.91873333333333,267.05,24.444444444444443,11.11111111111111,6.782329983125268,8.12403840463596,9.168424073961676,4.579852378003801,27.22222222,10.55555556
7,6/8/2012,13.20444272395427,10.366372268557118,11.460303384084256,14.558417088295524,20.101157198360177,0.2707217536049034,-17.8,-17.8,-7.511760000000001,-7.511760000000001,4.804021044733257,5.14166355650266,13.88888888888889,13.312288888888888,30.555555555555557,22.088955555555557,263.725,31.11111111111111,6.666666666666666,10.552724766618335,11.461239025515523,9.047651629014018,5.1762627205407306,25.0,13.88888889
8,6/9/2012,13.04987197263738,10.57776238311958,11.758721907260636,14.45376813718434,20.485710625383383,0.27290508784086337,-17.8,-17.8,-7.511760000000001,-7.511760000000001,4.74493212836325,5.056245805348308,9.444444444444445,10.971844444444445,31.11111111111111,22.38151111111111,258.5791667,33.333333333333336,8.333333333333334,11.702563821658911,12.527968710050326,9.047651629014018,5.258796608385754,32.22222222,15.55555556
9,6/10/2012,12.904887166207184,10.778432762767048,12.046850495942389,14.351525517999088,20.85835757529238,0.2719868269016627,23.9,7.8,17.32893,7.738160000000001,4.672828834461906,5.298317366548036,3.333333333333333,7.753733333333333,25.555555555555557,19.455955555555555,287.95,22.22222222222222,1.1111111111111112,9.759610647971568,10.735455276791944,9.047651629014018,5.035588035451832,34.44444444,11.11111111
10,6/11/2012,12.769488304663692,10.968383407499523,12.324689150129512,14.251689230739784,21.21909804808718,0.26757354077894474,26.1,10.6,18.639470000000003,9.40612,4.624972813284271,5.298317366548036,5.0,8.6314,25.0,19.1634,307.3458333,25.0,1.1111111111111112,9.327915093953203,10.34456378974,9.047651629014018,4.97935100405649,22.77777778,7.777777778
11,6/12/2012,12.64367538800689,11.147614317317004,12.592237869822007,14.154259275406403,21.567932043767765,0.26456684199469993,28.9,12.8,20.30743,10.71666,4.546481189639412,5.298317366548036,5.555555555555555,8.923955555555555,27.22222222222222,20.33362222222222,334.5,27.77777777777778,7.777777777777778,7.363423117002037,8.615103017375938,9.002777349240622,4.719212902028752,24.44444444,8.888888889
12,6/13/2012,12.527448416236782,11.316125492219482,12.84949665501987,14.05923565199896,21.904859562334146,0.26947989323737864,32.2,14.4,22.27324,11.66978,4.532599493153256,5.293304824724492,7.777777777777778,10.094177777777777,31.666666666666664,22.674066666666665,334.5,31.11111111111111,7.777777777777778,6.944062211702888,8.259539938761723,9.456743625582751,4.647558952479878,28.88888889,10.0
13,6/14/2012,12.420807389353376,11.473916932206974,13.09646550572311,13.966618360517456,22.229880603786327,0.2703646004809834,28.9,14.4,20.30743,11.66978,4.506454213048934,5.288267030694535,10.555555555555555,11.556955555555554,28.33333333333333,20.91873333333333,334.5,28.33333333333333,9.444444444444445,6.870953354520754,8.198170527623832,10.650821564555478,4.648133885420207,31.66666667,12.77777778
14,6/15/2012,12.323752307356663,11.620988637279464,13.33314442193172,13.876407400961888,22.542995168124303,0.27090103958684625,29.4,14.4,20.60528,11.66978,4.537961436294641,5.288267030694535,11.666666666666666,12.142066666666665,27.77777777777778,20.626177777777777,334.5,28.33333333333333,11.11111111111111,7.019259220174163,8.322860085331245,9.865596788841515,4.667957174086856,28.33333333,14.44444444
15,6/16/2012,12.23628317024665,11.757340607436964,13.559533403645702,13.788602773332254,22.844203255348077,0.26808810654788,26.1,14.4,18.639470000000003,11.66978,4.590056548178043,5.288267030694535,9.444444444444445,10.971844444444445,24.444444444444443,18.870844444444444,328.8,23.88888888888889,11.666666666666666,6.90941386804988,8.230431337420901,9.865596788841515,4.660699495780571,27.77777778,15.55555556
16,6/17/2012,12.15839997802333,11.882972842679465,13.77563245086505,13.703204477628551,23.13350486545763,0.27309023381884917,35.6,18.9,24.29862,14.35043,4.593097604753822,5.288267030694535,13.333333333333332,13.019733333333331,33.333333333333336,23.55173333333333,328.8,33.888888888888886,10.0,6.894200461257274,8.217663901620703,9.865596788841515,4.653198154998673,26.11111111,15.0
17,6/18/2012,12.090102730686707,11.997885343006974,13.981441563589776,13.620212513850788,23.410899998452997,0.27327588325319846,37.2,14.4,25.25174,11.66978,4.592084946439436,5.288267030694535,13.333333333333332,13.019733333333331,33.888888888888886,23.844288888888887,334.5,36.11111111111111,8.88888888888889,6.96921803361037,8.280700453464068,10.650821564555478,4.65434122999454,33.88888889,17.22222222
18,6/19/2012,12.031391428236786,12.102078108419486,14.176960741819872,13.539626881998965,23.67638865433415,0.27216949104448207,35.0,10.6,23.9412,9.40612,4.565389315976247,5.293304824724492,11.666666666666666,12.142066666666665,34.44444444444444,24.13684444444444,338.6166667,33.888888888888886,8.333333333333334,6.9346953790343235,8.2516664983505,12.617844506887854,4.649569773284776,36.66666667,16.11111111
19,6/20/2012,11.982266070673557,12.195551138917002,14.36218998555534,13.46144758207307,23.9299708331011,0.27309023381884917,21.1,7.8,15.66097,7.738160000000001,4.571613402459248,5.298317366548036,12.22222222222222,12.43462222222222,21.666666666666668,17.408066666666667,359.5166667,21.11111111111111,7.777777777777778,6.950539547402058,8.264986388373547,11.066616465749592,4.652816839455444,33.88888889,13.33333333
20,6/21/2012,11.94272665799702,12.27830443449952,14.537129294796175,13.385674614073112,24.17164653475384,0.27216949104448207,30.0,12.2,20.9627,10.35924,4.507557357121091,5.298317366548036,12.22222222222222,12.43462222222222,27.77777777777778,20.626177777777777,361.1,28.88888888888889,9.444444444444445,6.96993543729065,8.281304245105357,10.590561835898981,4.6504303173929555,28.33333333,13.33333333
