Date,"Adjusted TOC, Downstream Strontia","Adjusted TP, Downstream Strontia","Adjusted turbidity, Downstream Strontia"
10/3/19,2.8,0.0,2.5
10/4/19,2.750443621351492,0.0009245223708494287,2.475848128448651
10/5/19,2.7029752519692924,0.0018088545887235965,2.451920910138094
10/6/19,2.6575499975073664,0.0026538897681330645,2.428216926753911
10/7/19,2.6141229636196806,0.0034605210235883945,2.404734759981684
10/8/19,2.5726492559602003,0.004229641469600148,2.3814729915069965
10/9/19,2.5330839801828917,0.004962144220678886,2.35843020301543
10/10/19,2.4953822419417206,0.0056589223913351685,2.335604976192568
10/11/19,2.4594991468906535,0.006320869096079559,2.312995892723993
10/12/19,2.425389800683655,0.006948877449422618,2.290601534295287
10/13/19,2.393009308974692,0.007543840565874908,2.2684204825920324
10/14/19,2.362312777417731,0.008106651559946988,2.2464513192998123
10/15/19,2.3332553116667363,0.00863820354614942,2.224692626104209
10/16/19,2.305792017375675,0.009139389638992768,2.203142984690805
10/17/19,2.2798780001985124,0.009611102952987588,2.181800976745183
10/18/19,2.2554683657892145,0.010054236602644448,2.160665183952925
10/19/19,2.232518219801748,0.010469683702473904,2.139734187999615
10/20/19,2.210982667890078,0.01085833736698652,2.119006570570833
10/21/19,2.1908168157081707,0.011221090710692858,2.098480913352164
10/22/19,2.1719757689099914,0.011558836848103477,2.078155798029189
10/23/19,2.1544146331495075,0.01187246889372894,2.0580298062874913
10/24/19,2.138088514080683,0.012162879962079804,2.0381015198126535
10/25/19,2.122952517357485,0.012430963167666639,2.018369520290258
10/26/19,2.10896174863388,0.012677611625,1.9988323894058864
10/27/19,2.096071313563832,0.01290371844859045,1.9794887088451227
10/28/19,2.0842363178013086,0.01311017675294855,1.9603370602935486
10/29/19,2.0734118670002752,0.013297879652584861,1.9413760254367467
10/30/19,2.0635530668146975,0.013467720262009947,1.9226041859603
10/31/19,2.0546150228985414,0.013620591695734362,1.9040201235497902
11/1/19,2.046552840905773,0.013757387068268675,1.8856224198908005
11/2/19,2.039321626490359,0.01387899949412345,1.8674096566689133
11/3/19,2.032876485306264,0.013986322087809238,1.8493804155697113
11/4/19,2.027172523007454,0.014080247963836608,1.8315332782787763
11/5/19,2.0221648452478957,0.01416167023671612,1.8138668264816915
11/6/19,2.0178085576815548,0.01423148202095833,1.7963796418640396
11/7/19,2.0140587659623965,0.014290576431073804,1.7790703061114028
11/8/19,2.010870575744388,0.014339846581573112,1.7619374009093631
11/9/19,2.008199092681494,0.014380185586966797,1.7449795079435042
11/10/19,2.005999422427681,0.014412486561765437,1.7281952088994081
11/11/19,2.004226670636915,0.014437642620479578,1.7115830854626568
11/12/19,2.0028359429631615,0.014456546877619795,1.6951417193188336
11/13/19,2.001782345060387,0.014470092447696639,1.6788696921535209
11/14/19,2.0010209825825567,0.014479172445220677,1.6627655856523005
11/15/19,2.0005069611836372,0.014484679984702474,1.6468279815007563
11/16/19,2.0001953865175937,0.014487508180652588,1.6310554613844694
11/17/19,2.0000413642383927,0.01448855014758158,1.6154466069890232
11/18/19,2.0,0.014488699,1.6
11/19/19,2.0038900496619396,0.014304102242370371,1.5840663967975068
11/20/19,2.0149566923951414,0.013784655552296297,1.5671984008265392
11/21/19,2.032294668820678,0.012981874304000001,1.5496973643700145
11/22/19,2.054998719559624,0.011947273871703704,1.5318646397108495
11/23/19,2.0821635852330522,0.01073236962962963,1.5140015791319614
11/24/19,2.1128840064620356,0.009388676952000002,1.4964095349162663
11/25/19,2.146254723867648,0.007967711213037038,1.4793898593466817
11/26/19,2.1813704780709626,0.006520987786962963,1.4632439047061243
11/27/19,2.2173260096930534,0.005100022048000002,1.448273023277511
11/28/19,2.253216059354993,0.0037563293703703707,1.4347785673437583
11/29/19,2.2881353676778553,0.002541425128296297,1.4230618891877835
11/30/19,2.321178675282714,0.001506824696000001,1.4134243410925036
12/1/19,2.3514407227906418,0.0007040434477037019,1.406167275340835
12/2/19,2.378016250822713,0.00018459675762962785,1.4015920442156948
12/3/19,2.4,0.0,1.4
12/4/19,2.4194953206761585,0.0,1.4002402332361514
12/5/19,2.439179076569469,0.0,1.4009422740524782
12/6/19,2.459006278347942,0.0,1.402078134110787
12/7/19,2.4789319366795874,0.0,1.4036198250728862
12/8/19,2.498911062232416,0.0,1.405539358600583
12/9/19,2.51889866567444,0.0,1.407808746355685
12/10/19,2.5388497576736673,0.0,1.4103999999999999
12/11/19,2.55871934889811,0.0,1.4132851311953352
12/12/19,2.578462450015778,0.0,1.4164361516034985
12/13/19,2.598034071694683,0.0,1.4198250728862973
12/14/19,2.6173892246028343,0.0,1.4234239067055392
12/15/19,2.636482919408243,0.0,1.427204664723032
12/16/19,2.65527016677892,0.0,1.4311393586005832
12/17/19,2.673705977382876,0.0,1.4352
12/18/19,2.69174536188812,0.0,1.4393586005830903
12/19/19,2.709343330962664,0.0,1.4435871720116618
12/20/19,2.7264548952745185,0.0,1.4478577259475218
12/21/19,2.7430350654916937,0.0,1.452142274052478
12/22/19,2.7590388522822007,0.0,1.4564128279883382
12/23/19,2.7744212663140493,0.0,1.4606413994169096
12/24/19,2.7891373182552504,0.0,1.4647999999999999
12/25/19,2.8031420187738143,0.0,1.468860641399417
12/26/19,2.8163903785377524,0.0,1.4727953352769678
12/27/19,2.8288374082150747,0.0,1.4765760932944605
12/28/19,2.8404381184737915,0.0,1.4801749271137026
12/29/19,2.8511475199819136,0.0,1.4835638483965015
12/30/19,2.860920623407452,0.0,1.4867148688046647
12/31/19,2.869712439418417,0.0,1.4896
